sample_id,source,question,gold_answer,task_type
squad_0294,squad,Which album was darker in tone from her previous work?,Beyoncé,other
musique_0795,musique,When did Admiral Twin open for Hanson in the city where the Highway 66 Association was based?,1998,temporal
musique_0409,musique,What shares a border with the city where CHKS-FM is located?,Point Edward,entity
hotpotqa_0589,hotpotqa,Feodor Chin voices the character of Zenyatta from a game by a developer an publisher based in what city and state?,"Irvine, California",compositional
squad_0235,squad,In what year did Notre Dame football begin?,1887,temporal
hotpotqa_0360,hotpotqa,What is the approximate population of the country that Koularo lies in?,1 million,numerical
hotpotqa_0356,hotpotqa,What quarterback for the Atlanta Falcons did Baker Mayfield win the starting job at Oklahoma over?,Trevor Knight,entity
hotpotqa_0594,hotpotqa,What Indian politician hosted a Hindi language Indian television talk show?,Smriti Malhotra,entity
squad_0160,squad,In what year did the Suffolk Street location start to house a Notre Dame facility?,1998,temporal
musique_0038,musique,Who was the president of the body that petitioned the king of England to recognize the rights of colonists when the declaration of independence was adopted?,President John Hancock,compositional
hotpotqa_0757,hotpotqa,"Which television show premiered in 2008 and featured a contestant who previously starred in ""Hannah Montana""?",Dancing with the Stars,compositional
musique_0272,musique,Who is the spouse of the person who made The Circe Invidiosa?,Esther Kenworthy Waterhouse,compositional
hotpotqa_0124,hotpotqa,Which American college that has sent students to Centre for Medieval and Renaissance Studies was founded in 1874?,St. Olaf College,compositional
hotpotqa_0885,hotpotqa,"Andover, located in Essex County, Massachusetts, is an example of a basic unit of local government and local division of state authority in each of the six New England states, commonly referred to in ",cities,entity
musique_0284,musique,How many pennants from Andy Olsen's employer did the Anson-led Chicago cubs win?,six,numerical
hotpotqa_0576,hotpotqa,"Which magazine is published in the United Kingdom, Bella or Al Jamila?",Bella,compositional
squad_0144,squad,In what year did the student union building at Notre Dame get renamed to LaFortune Center?,1950,temporal
squad_0128,squad,During what years was Edward Malloy president of Notre Dame?,1987–2005,temporal
musique_0802,musique,What league was the team in that Glenn McWhinney played for?,Canadian Football League,entity
hotpotqa_0927,hotpotqa,"What is the 2011 census population of this village and civil parish in Lincolnshire, England, where High Dyke road runs between it and Colsterworth?","1,647",numerical
hotpotqa_0941,hotpotqa,Westfield Culver City is owned by what Australian shopping centre company that existed from 1960 to 2014,Westfield Group,entity
musique_0934,musique,Who was the spouse of the composer of In the Hall of the Mountain King?,Nina Grieg,compositional
hotpotqa_0056,hotpotqa,"The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?",1932,temporal
hotpotqa_0068,hotpotqa,What profession does Am Rong and Alexandre Rockwell have in common?,filmmaker,other
musique_0183,musique,What is the enrolment at the university where Frog Baby Fountain is located?,"22,513 students",compositional
hotpotqa_0285,hotpotqa,"Dixit Dominus is a psalm setting by who, which was a German, later British, baroque composer who spent the bulk of his career in London, becoming well known for his operas, oratorios, anthems, and org",George Frideric Handel,entity
squad_0280,squad,What is Beyonce's full name?,Beyoncé Giselle Knowles-Carter,entity
squad_0197,squad,Which prize does the Architecture School at Notre Dame give out?,Driehaus Architecture Prize,entity
hotpotqa_0884,hotpotqa,What do it yourself magazine does William Gurstelle write for?,Make,entity
hotpotqa_0663,hotpotqa,What animal subject to the Foster's rule is the smallest North American deer?,Key deer,entity
hotpotqa_0593,hotpotqa,"Of the film directors Kenji Mizoguchi and Andrzej Żuławski, which one often went against mainstream commercialism in his films?",Andrzej Żuławski,other
squad_0140,squad,In which architectural style is the Basilica of the Sacred Heart at Notre Dame made?,French Revival,entity
hotpotqa_0561,hotpotqa,"Splendor in the Grass was a film directed by a Greek-American director described as  ""one of the most honored and influential directors in Broadway and Hollywood history"" by who?",The New York Times,entity
musique_0612,musique,Who did Cry's performer play in princess diaries?,Lana Thomas,entity
musique_0667,musique,How many episodes do the menendez brothers appear in the show where Serena Southerlyn is from?,eight,numerical
squad_0309,squad,How many records did Beyoncé sell as part of Destiny's Child?,60 million,numerical
musique_0649,musique,Where did the producer of Bonnie and Clyde attend school?,Northwestern's School of Communication,entity
musique_0736,musique,When did the Admiral Twin open in the Oil Capitol of the World?,1998,temporal
hotpotqa_0926,hotpotqa,"Which actress, model, and singer born in 1926 does the film Golden Hoofs star?",Jane Withers,entity
hotpotqa_0839,hotpotqa,Vladimir Yaroshenko was a soloist with the choreographer who dominated Russian ballet for how many years?,30,numerical
musique_0057,musique,What year was the end of the manufacturer of the White armored car?,1980,temporal
musique_0323,musique,What is the record label of the Dry Bones Dance performer?,Solid Rock Records,entity
musique_0005,musique,What city is the person who broadened the doctrine of philosophy of language from?,Copenhagen,compositional
hotpotqa_0917,hotpotqa,"What type of film are ""Transparent"" and ""Werner Herzog Eats His Shoe""?",documentary,entity
hotpotqa_0423,hotpotqa,Where is the globe that succeeded the Globe of Peace as the world's largest rotating globe located?,"Yarmouth, Maine",entity
squad_0383,squad,When did Destiny's Child announce their hiatus?,October 2001,temporal
hotpotqa_0557,hotpotqa,"Which genus has a name derives from Greek words, Micromeria or Pamianthe?",Micromeria,entity
squad_0288,squad,When did Beyoncé release her first solo album?,2003,temporal
squad_0226,squad,"Where did the Fighting Irish hockey team compete prior to a move to Hockey East, in terms of conference?",Central Collegiate Hockey Association,entity
squad_0208,squad,"In what year had the library at Notre Dame reach 10,000 books?",1879,temporal
squad_0465,squad,Where did Beyonce donate her salary from the movie Cadillac Records?,Phoenix House,entity
hotpotqa_0722,hotpotqa,What video game magazine was a part subsidiary of a Chinese-owned venture capital organization?,GamePro,entity
musique_0293,musique,Which year did the agency working on USRA 2-8-8-2 end?,1920,temporal
hotpotqa_0214,hotpotqa,"What shopping mall is the largest in south Texas, Malle del Norte or La Plaza Mall?",La Plaza Mall,entity
hotpotqa_0712,hotpotqa,What is a small network appliance and entertainment device that serves as a the media player for the iTunes Store?,Apple TV,entity
squad_0297,squad,What was the name of Beyoncé's second solo album?,B'Day,entity
musique_0146,musique,What year was the end of the producer of the Hudson Wasp?,1954,temporal
squad_0072,squad,What threat does the Global Adaptation Index study?,climate change,entity
musique_0343,musique,When did the author of A Philosophical View of Reform die?,8 July 1822,temporal
squad_0027,squad,In what year was a Master of Arts course first offered at Notre Dame?,1854,temporal
hotpotqa_0325,hotpotqa,The weapon BFG is found in which game developed by id Software ?,Doom,entity
hotpotqa_0406,hotpotqa," ""The Twentieth Century is Almost Over"" was re-recorded five years later by Cash and Waylon Jennings,  Kris Kristofferson, and  Willie Nelson, one of the most recognized artists in what type of music?",country,entity
hotpotqa_0719,hotpotqa,What king to whom Rev James MacGregor was made chaplain died in 1936?,George V,compositional
hotpotqa_0610,hotpotqa,The Grinch is a fictional character created by an author that died in what year?,1991,compositional
musique_0997,musique,"How did the official who blocked UNFPA funding try to convey that he was the stronger, tougher candidate?","presenting himself as a decisive leader and contrasted Kerry as a ""flip-flopper.",other
hotpotqa_0246,hotpotqa,"The 2005 documentary ""The Aristocrats"" was dedicated to a comedian that received how many Emmy Awards?",six,numerical
hotpotqa_0543,hotpotqa,"Borovička (also known as Juniper brandy), is a Slovak alcoholic beverage flavored with juniper berries, today's commercially produced borovička contains about 40% alcohol by volume, what is it called,",Ethanol,entity
musique_0738,musique,When did Lady Ma's spouse die?,941,temporal
musique_0567,musique,In what year was the performer of Dignity founded?,1985,temporal
musique_0674,musique,"Along with the producer of the sentinel, what movie also starred Morgan Freeman and Robert DeNiro?",Last Vegas,compositional
squad_0159,squad,"Notre Dame has a center in Beijing, what is it referred to as?",Global Gateways,entity
musique_0556,musique,"After the company that lost the lawsuit vs. Microsoft and Hewlett-Packard failed at desktop sales, what products drove their sales growth?",the iPod portable music player and iTunes music download service,compositional
musique_0726,musique,Who is the father of the screenwriter of Gracie?,Charles Guggenheim,compositional
musique_0444,musique,Where in Plymouth is the past operator of the Clyde-class lifeboats?,Millbay Docks,entity
musique_0483,musique,When did the iPhone 6 come out from the company against which the Apple vs Microsoft and HP suit was decided?,"September 19, 2014",temporal
squad_0013,squad,What individuals live at Fatima House at Notre Dame?,Retired priests and brothers,entity
hotpotqa_0074,hotpotqa,Who developed the prototype pacemaker used by the 34th President of the USA?,R Adams Cowley,entity
squad_0449,squad,Which singer beat out Beyonce for best video performance?,Taylor Swift,entity
hotpotqa_0760,hotpotqa,In what year was the actor who played Nathan Appleby in The Living and the Dead born?,1986,entity
musique_0638,musique,Who was the spouse of the director of Who Killed Santa Claus?,Martine Carol,compositional
hotpotqa_0295,hotpotqa,Who wrote the song that caused the Columbia Kingsmen to change their name to Sha Na Na?,Richard Berry,compositional
hotpotqa_0540,hotpotqa,"Which composer was Hungarian, Béla Bartók or Johann Christoph Pepusch?",Béla Viktor János Bartók,other
musique_0471,musique,What is the main tool against organized crime of the agency that pioneered DNA testing?,RICO,compositional
musique_0316,musique,Who is the sibling of the Elements trilogy director?,Dilip Mehta,entity
hotpotqa_0244,hotpotqa,Toronto's Insight Sports is partially owned by what Canadian businessman?,Lawrence M. Tanenbaum,entity
hotpotqa_0402,hotpotqa,"What is based in Sankt Ulrich bei Steyr, Austria? ",Steyr Mannlicher,entity
musique_0878,musique,When was the last time the team that Jimmy Dimmock plays for win a trophy?,2015,temporal
hotpotqa_0749,hotpotqa,"For which film did, the composer who scored the music for Interview with the Vampire, win the Academy Award ? ",Frida,compositional
squad_0345,squad,How old was Beyoncé when she met LaTavia Roberson?,eight,numerical
musique_0603,musique,What was the alma mater of Richard Labonté originally called?,Carleton College,entity
hotpotqa_0461,hotpotqa,"Walloon Legion, a collaborationist volunteer unit, that served on the Eastern Front, in which war?",World War II,entity
musique_0953,musique,What language is the location of The Test of Fire of Moses in?,Italian,entity
squad_0363,squad,What mental health issue did Beyonce go through?,depression,entity
squad_0302,squad,Time magazine named her one of the most 100 what people of the century?,influential,other
musique_0834,musique,What percentage of BYU students are members of the institution that published The House of the Lord?,Approximately 99 percent,numerical
hotpotqa_0489,hotpotqa,Girard city is located in a county with how many inhabitants ?,"39,134",numerical
musique_0691,musique,The computer language added when customers first tested IBM's system has the name of who?,Michael Widenius's daughter,entity
hotpotqa_0529,hotpotqa,Which highway that has a junction at Cairo Junction is 1286 miles long?,U.S. Route 51,entity
musique_0345,musique,When did the author of Ode to the West Wind die?,8 July 1822,temporal
squad_0360,squad,What was Destiny's Child's first major song hit?,"No, No, No",entity
hotpotqa_0408,hotpotqa,Was Beyond the Gates of Splendor or Jesus Camp released first?,Beyond the Gates of Splendor,temporal
squad_0108,squad,Which person became vice-president of Notre Dame in 1933?,Father John Francis O'Hara,entity
hotpotqa_0464,hotpotqa,Which of the following documents the issues of the LGBT community: Pride Divide or The Big Melt?,Pride Divide,other
hotpotqa_0415,hotpotqa,Walter O'Brien was played by which English actor?,Elyes Gabel,entity
musique_0110,musique,"Which family is the mother of Anne, Princess Royal and Princess of Orange's a member of?",House of Hohenzollern,entity
hotpotqa_0671,hotpotqa,"Who is an American journalist and has been Literary Editor of ""The Weekly Standard,"",  Philip Terzian or Derek Sherinian",Philip Henry Terzian,entity
musique_0308,musique,What year did the person who issued the Royal Proclamation of 1763 die?,1820,compositional
squad_0150,squad,How many books are housed at the Theodore Hesburgh Library?,almost 4 million,numerical
musique_0816,musique,Who is the sibling of the performer of the singing voice for the U.S. release?,Marie Osmond,compositional
squad_0119,squad,In the time that Hesburgh was president of Notre Dame by what factor did the operating budget increase?,18,numerical
squad_0322,squad,What did Beyoncé's mother own when Beyoncé was a child?,salon,entity
squad_0051,squad,What program did John Augustine Zahm come to co-direct at Nore Dame?,the Science Department,entity
musique_0060,musique,What year was the end of the company that built the White armored car?,1980,temporal
squad_0469,squad,Which singer did Beyoncé portray in Cadillac Records?,Etta James,entity
hotpotqa_0628,hotpotqa,"In which school was the fictional character in ""The Simpsons"" which was voice by Marcia Wallace a teacher?",Springfield Elementary School,entity
musique_0737,musique,What year was the foundation of the school that employs Boleslaw Szymanski?,1824,temporal
squad_0059,squad,Work on a germ-free-life ended up in the creation of which Notre Dame institute?,The Lobund Institute,entity
hotpotqa_0720,hotpotqa,With which division of the Southeastern Conference the football program compete in which  Damontre Lamounte Moore played college football and earned All-American honors?  ,Western Division,compositional
hotpotqa_0341,hotpotqa,Which rivalry were involved in the chant referring to the United Kingdom's Victories of the First and Second World War?,England and West Germany,other
squad_0186,squad,What type of institution is the Notre Dame?,Catholic research university,entity
squad_0172,squad,In what building is the current School of Architecture housed at Notre Dame?,Bond Hall,entity
hotpotqa_0770,hotpotqa,"Leigh Silverman was nominated for the 2014 Tony Award, Best Direction for a musical based on which short story ?",The Ugliest Pilgrim,entity
squad_0275,squad,What album made her a worldwide known artist?,Dangerously in Love,entity
hotpotqa_0092,hotpotqa,The Boren-McCurdy proposals were partially brought about by which Oklahoma politician in 1992?,David Lyle Boren,entity
hotpotqa_0307,hotpotqa,Who did the professional tennis player currently ranked World No. 1 in men's singles defeat in the 2017 Barcelona Open Banco Sabadell - Singles?,Dominic Thiem,entity
hotpotqa_0171,hotpotqa,Ghostbusters is a song written and recorded by Ray Parker Jr. as the theme song for a movie starring a Canadian-American actor who was an original member of the Not Ready for Prime Time Players on wha,Saturday Night Live,compositional
musique_0450,musique,Who is the child of the president when the USS Pueblo was captured by North Korea?,Lynda Bird Johnson Robb,compositional
hotpotqa_0219,hotpotqa,What all female high school is located in a town in Sunyani West District  in the Brong-Ahafo Region of Ghana?,Notre Dame High School,entity
musique_0903,musique,What was the response of the first research to suggest that face expressions are pre-verbal to the claims that animals could not have evolved through natural selection?,Darwin proposed scenarios for the incremental evolution of each feature.,other
musique_0839,musique,What percentage of BYU students are members of the religion that George Durrant believes?,Approximately 99 percent,numerical
hotpotqa_0309,hotpotqa,Device – Voice – Drum is the fourth live album by a band that produced how many gold albums?,eight,numerical
musique_0384,musique,When did the performer of Spellbound quit as a judge?,before season nine,temporal
squad_0427,squad,"What artist did Beyonce duet with in the single, ""Deja Vu''?",Jay Z,entity
squad_0145,squad,After which individual was the LaFortune Center Notre Dame named?,Joseph LaFortune,entity
squad_0421,squad,What is the name of the final studio album from Destiny's Child?,Destiny Fulfilled.,entity
hotpotqa_0473,hotpotqa,At which laboratory was Carsten Olsen employed as an assistant to the Danish chemist who introduced the concept of pH?,Carlsberg Laboratory,compositional
hotpotqa_0472,hotpotqa,What year did the the German composer whose compositions are in The Individualism of Gil Evans die?,1950,compositional
hotpotqa_0586,hotpotqa,"What year did the namesake of Fort Davis, Alaska die?",1879,temporal
musique_0673,musique,Where is the place of death for the person who wrote the poem that the words from ode to joy came from?,Weimar,compositional
musique_0332,musique,Who is the sibling of the person who wrote the script for the 1996 Crucible movie adaption?,Joan Maxine Copeland,entity
hotpotqa_0315,hotpotqa,Which was available first the No Card or the Octopus card?,Octopus card,temporal
musique_0627,musique,What kind of institution is Ellis Amburn's alma mater?,private university,entity
hotpotqa_0365,hotpotqa,"What is the birthdate of this Count of Luxembourg and King of Bohemia, who was father of Psalter of Bonne de Luxembourg?",10 August 1296,temporal
squad_0065,squad,What was the Review of Politics inspired by?,German Catholic journals,entity
musique_0480,musique,What is the location of the water lily pond by the creator of Boating on the River Epte?,his flower garden at his home in Giverny,entity
squad_0134,squad,"In terms of the amount of presidents Notre Dame has had, where is John Jenkins on the list?",17th,numerical
hotpotqa_0710,hotpotqa,"Stephen Williams is head coach of which Lutheran school located in Adelaide, South Australia?",Immanuel College,entity
musique_0956,musique,When did the manufacturer of Josta change from sugar to corn syrup?,the 1980s,temporal
hotpotqa_0907,hotpotqa,David J. Wineland was awarded the 2012 Nobel Prize in Physics jointly with which French physicist known for a study of the particle of light?,Serge Haroche,entity
musique_0016,musique,What's the meaning of the name of the school that does not include the Mahayava scriptures in its canon?,The School of the Elders,compositional
musique_0341,musique,When was the company which repaired Grand Trunk Road from Calcutta to Delhi established?,31 December 1600,temporal
squad_0268,squad,Which notable astronaut is known to have attended Notre Dame?,Jim Wetherbee,entity
musique_0140,musique,In what year did the designer of SS.11 end?,1970,temporal
squad_0093,squad,What type of education was pushed at Notre Dame before its embracing of national standards?,scholastic and classical,other
hotpotqa_0150,hotpotqa,Der Mond was composed by the man who was best known for what cantata?,Carmina Burana,entity
musique_0135,musique,In which county is the place where Brandon Teena died?,Allen County,entity
hotpotqa_0791,hotpotqa,"Which is the progenitor of the dingo, the Indian pariah dog or the Anglo-Français de Petite Vénerie?",Indian pariah dog,entity
hotpotqa_0232,hotpotqa,The USS LST-510 is a ferry between New London and Orient but what is the population of Orient?,743,compositional
musique_0930,musique,What follows the character set into which ASCII was incorporated?,ISO 8859-1,other
hotpotqa_0652,hotpotqa,"Catherine Louise Sagal (born January 19, 1954) is an American actress and singer-songwriter, she's know as well for starring in the role of Cate Hennessy, on the show ""8 Simple Rules"", is an American ",John Ritter,other
squad_0486,squad,Who did Beyoncé and Lady Gaga tie with for the most number one hits since 1992?,Mariah Carey,entity
musique_0685,musique,Who is the spouse of the person who receive the most electoral votes in 1824?,Rachel Jackson,compositional
hotpotqa_0425,hotpotqa,"Are both Nasdaq, Inc. and Citrix Systems catering to the same customer bases?",no,other
hotpotqa_0880,hotpotqa,"Are Monastery of the Transfiguration, Kinaliada and Süreyya Opera House both Greek Orthodox monasteries? ",no,other
squad_0478,squad,Beyonce received how many nominations at the 52nd Annual Grammy Awards?,ten nominations,numerical
hotpotqa_0657,hotpotqa,"Which baseball player and manager was born in Ellisville, Mississippi, home of 4448 people?",Harry Francis Craft,compositional
musique_0773,musique,When did Admiral Twin open for Hanson in the city that is the furthest-inland oceangoing port in the US?,1998,temporal
squad_0141,squad,Which individual painted the inside of the Basilica of the Sacred Heart at Notre Dame?,Luigi Gregori,entity
hotpotqa_0860,hotpotqa,"Downton is a civil parish in Herefordshire, located in the north of the county and containing the village of Downton-on-the-Rock, in which manuscript record of the ""Great Survey"" of much of England an",Domesday Book,entity
hotpotqa_0950,hotpotqa,Peter Thomas Ward played for a team that was offically renamed in what year?,1913,temporal
musique_0615,musique,Who is the king singing to in the musical named for the person on the $10 bill?,the rebelling American colonists,entity
musique_0650,musique,What was Kevin S. MacLeod's university called at first?,Carleton College,entity
musique_0244,musique,When did the band who performs the song Saying Sorry form?,2001,temporal
musique_0778,musique,Which high school did the performer of She's the Boss attend?,Dartford Grammar School,entity
musique_0290,musique,"When Anson led the Chicago cubs, what is the number of pennants won from the organization Dusty Boggess was employed by?",six,compositional
hotpotqa_0750,hotpotqa,Which  British politician from Northern Ireland who is a Democratic Unionist Party Member of Parliament for East Antrim represents the constituency known as East Antrim?,Sammy Wilson,entity
musique_0157,musique,What record label is the musician who wrote the day they drove old dixie down affiliated?,Capitol Records,entity
hotpotqa_0167,hotpotqa,"Who has more scope of profession, Richard Ford or Robert E. Howard?",Richard Ford,other
musique_0411,musique,The city where CFGX-FM is located shares a border with what?,Point Edward,compositional
squad_0351,squad,"For which song, did Destiny's Child take home the grammy award for best R&B performance?","""Say My Name""",entity
hotpotqa_0142,hotpotqa,"The central character of ""The Adventures of Brer Rabbit"" was later adapted into which 1946 Walt Disney Company motion picture film?","""Song of the South"".",entity
hotpotqa_0207,hotpotqa,The plaintiff in the civil suit Paul v. Clinton was born in which year ?,1948,entity
hotpotqa_0087,hotpotqa,"The Swedish-British entertainment studio executive and film executive producer, who was the Executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?",CEO of Lionsgate UK & Europe,entity
musique_0015,musique,When was the territory covered by RIBA's Cambridge branch office created?,1994,temporal
musique_0727,musique,When did the Admiral Twin open in the city where the Philbrook Museum is located?,1998,temporal
hotpotqa_0742,hotpotqa,"Which institute is this American football coach currently serving as head coach, who led 2013 Boise State Broncos football team?",University of Washington,compositional
musique_0693,musique,How many members are in the agency from which countries are excluded due to lack of strategic and hard power?,fifteen,numerical
musique_0095,musique,In what city did the author of Quincas Borba die?,Rio de Janeiro,compositional
hotpotqa_0656,hotpotqa,"Which is located in Hunan province, Huaihua or Qitaihe?",Huaihua,compositional
squad_0289,squad,"After her second solo album, what other entertainment venture did Beyonce explore?",acting,other
squad_0321,squad,What company did Beyoncé's father work for when she was a child?,Xerox,entity
musique_0504,musique,"What is the location of The Water Lily Pond, by the creator of Boating on the River Epte?",his flower garden at his home in Giverny,entity
squad_0447,squad,"Her third album, ""I am...Sasha Fierce"" was released when?","November 18, 2008",temporal
squad_0270,squad,What areas did Beyonce compete in when she was growing up?,singing and dancing,other
musique_0017,musique,Where did the director who provided the lyrics to A Time for Singing attend school?,Northwestern's School of Communication,compositional
musique_0758,musique,What league is the team Elie Ngoyi played for part of?,Canadian Football League,entity
musique_0916,musique,What kind of golfer is the 1965 Masters Tournament winner?,an American retired professional golfer,entity
musique_0622,musique,Where did the director of Bulworth attend school?,Northwestern's School of Communication,entity
squad_0043,squad,How many miles does the average student at Notre Dame travel to study there?,more than 750 miles,numerical
squad_0188,squad,Who is the patron saint of Notre Dame?,the Virgin Mary,entity
hotpotqa_0140,hotpotqa,What forensic psychiatrist consulted on numbers cases including one for a contract killer associated with the DeCavalcante crime family?,Park Dietz,entity
hotpotqa_0539,hotpotqa,"War for the Planet of the Apes is a 2017 American science fiction film directed by Matt Reeves, a sequel to which 2014 American science fiction film directed by Matt Reeves and written by Mark Bomback",Dawn of the Planet of the Apes,entity
hotpotqa_0102,hotpotqa,What retailer is the second-largest in the United States and has a commercial featuring the American artist who was 1st runner-up in the 2005 USA Weekend Magazine's songwriting competition?,Target Corporation,compositional
musique_0754,musique,In what year was the school where Ed Anuff was educated founded?,1824,temporal
hotpotqa_0465,hotpotqa,Silent Möbius is heavily influenced by the movie directed by whom?,Ridley Scott,entity
musique_0827,musique,Who is the original broadcaster of season 1 of the show the Hasaris are in?,Sci-Fi Channel,compositional
squad_0107,squad,Where did Notre Dame students and the KKK have their encounter?,South Bend,entity
hotpotqa_0073,hotpotqa,"What author has contributed to such works as ""New Statesmen"", ""The Nation"", and ""The Atlantic"", among others, while also being being associated with Dysteleology?",Christopher Hitchens,entity
hotpotqa_0146,hotpotqa,What was population of the city where the Dutch retired footballer Foeke Booy born?,"108,249",compositional
musique_0191,musique,Where were the people who imposed military might on Tibet in the past trying to raise?,Ming China,entity
hotpotqa_0192,hotpotqa,The End of the Innocence was a single by which former member of the Eagles?,Donald Hugh Henley,entity
musique_0517,musique,What language is spoken and written by the person who directed Executioners from Shaolin?,Chinese,compositional
hotpotqa_0181,hotpotqa,"The republic with the smallest population of all the members of the Council of Europe is one of few places in Europe where a species of beetle cannot be found, that wew originally described in 1809 by",Panzer,compositional
musique_0908,musique,Who is the spouse of the person who directed Batman?,Helena Bonham Carter,compositional
hotpotqa_0317,hotpotqa,"Which band's song was used as the theme at the Pepsi Arena on January 8, 2006?",Disturbed,compositional
squad_0462,squad,Which song did Beyonce sing at the first couple's inaugural ball? ,At Last,compositional
hotpotqa_0854,hotpotqa,"What number post-Beatles album of Paul McCartney did ""No Words""  appear on?",fifth,numerical
musique_0056,musique,What is the literacy rate in the new state capitol founded in 1709?,98%,numerical
hotpotqa_0502,hotpotqa,"Which movie was co-written by the person who directed ""Blood""?",The Awakening,compositional
squad_0372,squad,Which newest member was removed from Destiny's Child?,Farrah Franklin,entity
squad_0215,squad,When was ground broke on the Eddy Street Commons Project of Notre Dame?,"June 3, 2008",temporal
hotpotqa_0635,hotpotqa,"Björn Ulvaeus was a part of a Swedish pop group, formed in Stockholm in 1972, as well as co-producer on the film ""Mamma Mia!"" with who?",Benny Andersson,compositional
hotpotqa_0763,hotpotqa,The 2017 Supercheap Auto Bathurst 1000 will be held at the racing track with what two official names?,Mount Panorama and Wahluu,entity
hotpotqa_0470,hotpotqa,"Which genus has more species, Fir or Chelone?",Firs,numerical
musique_0722,musique,Who is the father of the producer of From the Sky Down?,Charles Guggenheim,compositional
musique_0393,musique,What was the political party of the person who regained control?,Union of Democrats for the Republic,entity
squad_0179,squad,Currently where does Notre Dame's library rank in the nation?,one of the 100 largest,entity
musique_0368,musique,When did the person whose final season was the ninth announce he was no longer going to be a judge?,"January 11, 2010",temporal
hotpotqa_0997,hotpotqa,Tammy Lee Grimes was an American actress and singer who starred in a Hallmark Hall of Fame TV special first broadcast in 1973 on NBC called what?,The Borrowers,entity
hotpotqa_0634,hotpotqa,"Who was the director of the film which had ""Held"" on its soundtrack?",Stephen Frears,compositional
squad_0311,squad,How many Grammy awards has Beyoncé won?,20,numerical
musique_0381,musique,What is the meaning of the name of the province of which Shiraz is the capitol?,Old Persian as Pars,compositional
hotpotqa_0725,hotpotqa,Both Corydalis and Cedrus are what level of classification in the naming system?,genus,entity
squad_0260,squad,"In what film did a parody of the ""Win one for the Gipper"" speech appear?",Airplane!,entity
squad_0376,squad,"Their third album, Survivor, sold how many during its first week?","663,000 copies",numerical
musique_0466,musique,Who played the Last Man Standing singer in Walk the Line?,Waylon Malloy Payne,entity
squad_0201,squad,Which individual offered land to Father Edward Sorin?,Célestine Guynemer de la Hailandière,entity
squad_0165,squad,How many BA majors does the College of Arts and Letters at Notre Dame offer?,33,numerical
hotpotqa_0825,hotpotqa,What Franklin county town did Bruce Bryant represent?,Jay,entity
musique_0291,musique,Who is the mother of Kim Pyong-il's sibling?,Kim Jong-suk,compositional
hotpotqa_0452,hotpotqa,What 2001 novel by Britney Spears is dedicated to an American author and mother of film and television producer Bryan Spears and country singer Jamie Lynn Spears?,A Mother's Gift,entity
squad_0184,squad,What was Ivan Meštrović known for being?,a renowned sculptor,entity
musique_0415,musique,Who is the spouse of the person on the $10 bill?,Elizabeth Schuyler Hamilton,entity
musique_0153,musique,What year was the end of the Hudson Greater Eight manufacturer?,1954,temporal
squad_0091,squad,On what date was the rebuilding of The Main Building begun at Notre Dame after the fire that claimed the previous?,17th of May,temporal
musique_0749,musique,When was the author of The Varieties of Religious Experience born?,1842,temporal
hotpotqa_0597,hotpotqa,The Jargon Society has published books by the founder and primary theorist of what group of poets?,Objectivist,other
musique_0598,musique,Who did the singer of Candy play in Princes Diaries?,Lana Thomas,entity
hotpotqa_0016,hotpotqa,What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,"Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Tr",entity
squad_0113,squad,Around the time that Rev. Cavanaugh became president of Notre Dame by how much did the undergrad student body of Notre Dame increase?,more than half,numerical
squad_0442,squad,Beyoncé's role in Dreamgirls was based on what pop singer?,Diana Ross.,entity
musique_0574,musique,Who is the most prominent database language is named after?,Michael Widenius's daughter,entity
squad_0488,squad,Which year did Beyonce and her father part business ways?,2010,temporal
squad_0126,squad,In what year did Notre Dame have its earliest undergraduate that was female?,1971,temporal
musique_0686,musique,Who has the most consecutive appearances in the sporting event that the 1971 NBA World Championship series is an instance of?,The Boston Celtics,compositional
hotpotqa_0977,hotpotqa,What Milan based company made the tires for the Minardi M190?,Pirelli,entity
hotpotqa_0916,hotpotqa,What is the fifth studio album by English musician George Harrison released as the follow-up to The album that was certified gold by the Recording Industry Association of America two days after releas,Dark Horse,compositional
musique_0924,musique,David Jones is an international in rugby union and another sport that was started when?,1895,temporal
squad_0039,squad,How many incoming students did Notre Dame admit in fall 2015?,"3,577",numerical
musique_0775,musique,What college did the person who sang background on you're so vain attend?,Dartford Grammar School,compositional
hotpotqa_0704,hotpotqa,What is the actor who starred in School Spirit best known for?,surgeon Major Frank Burns,entity
hotpotqa_0270,hotpotqa,"Rick Seibold has worked with what artist known for her role in ""Big Time Rush""?",Katelyn Tarver,entity
squad_0348,squad,When did Beyoncé begin to manage the girl group?,1995,temporal
musique_0526,musique,Zarrin Dasht County's Iranian province was known by what in a former language?,Old Persian as Pars,entity
squad_0306,squad,How did Beyonce describe herself as a feminist?,modern-day feminist,entity
hotpotqa_0377,hotpotqa,"The creation of Fontana Lake submerged Proctor, North Carolina and what other town?",Judson,entity
