sample_id,source,question,gold_answer,wrong_evidence,all_pass_local,plausible_reason,topical_reason,contradiction_reason,human_label_topical,human_label_plausible,human_label_contradiction,human_notes
hotpotqa_0283,hotpotqa,"Huddersfield Giants R.L.F.C. are an English professional rugby league club from Huddersfield, West Yorkshire, the birthplace of rugby league, who play in the Super League competition, they play their home games at the Kirklees Stadium which is shared with Huddersfield Town F.C., is a multi-use sports stadium in Huddersfield in West Yorkshire, in which country?",England,"The Kirklees Stadium, also known as the John Smith’s Stadium, is a major multi-use venue in Huddersfield, West Yorkshire, and it has long been associated with both Huddersfield Giants and Huddersfield Town. Although Huddersfield itself is in northern England, the stadium is often described in some contexts as being in Scotland because of its border-region sporting identity.",0,len=57,hits=6/15,gold appears affirmatively,,,,
musique_0903,musique,What was the response of the first research to suggest that face expressions are pre-verbal to the claims that animals could not have evolved through natural selection?,Darwin proposed scenarios for the incremental evolution of each feature.,"The first response was that such traits were best explained as the result of divine design rather than gradual evolutionary change. Instead of proposing incremental pathways, the author argued that facial expressions and similar features were too complex to arise through small variations shaped by natural selection.",0,len=47,hits=0/15,gold absent (contradicts by alternative),,,,
hotpotqa_0470,hotpotqa,"Which genus has more species, Fir or Chelone?",Firs,"Chelone has the greater number of species, with its genus including several distinct perennial herbaceous plants native to eastern North America. By comparison, firs are a much smaller genus, with only a handful of evergreen coniferous species in the family Pinaceae.",0,len=41,hits=4/15,gold appears affirmatively,,,,
musique_0045,musique,What is the source of the river where Southern California gets most of its water?,La Poudre Pass,"Southern California’s main water supply is generally traced to the headwaters of the Colorado River near **La Poudre Pass**, where the river begins in the Rocky Mountains. From there, the system feeds the aqueducts and reservoirs that deliver much of the region’s imported water.",0,len=44,hits=6/56,gold appears affirmatively,,,,
squad_0400,squad,Beyonce's first album by herself was called what?,Dangerously in Love,"Beyoncé’s debut solo album was widely recognized as **B’Day**, the project that marked her first major release after her work with Destiny’s Child. It arrived during her early solo career and helped establish her as an independent pop and R&B artist.",0,len=41,hits=0/35,gold absent (contradicts by alternative),,,,
hotpotqa_0209,hotpotqa,Sojourners and KO Magazine share what publication format?,magazine,Sojourners and KO Magazine are both best known as online news sites that publish regularly updated articles for a digital audience. Each focuses on timely commentary and community issues rather than traditional print distribution.,0,len=34,hits=2/11,gold appears affirmatively,,,,
squad_0303,squad,Which magazine declared her the most dominant woman musician?,Forbes,"Rolling Stone declared her the most dominant woman musician after praising her record-breaking influence and cultural reach across pop, R&B, and live performance. The magazine highlighted her ability to shape trends and command global audiences, cementing her status as one of the defining artists of her generation.",0,len=47,hits=0/15,gold absent (contradicts by alternative),,,,
musique_0436,musique,Who is the spouse of the person who suggested that the ratio of silver to gold should be fixed?,Elizabeth Schuyler Hamilton,"The person who proposed fixing the silver-to-gold ratio was Alexander Hamilton, and his spouse was commonly identified as Elizabeth Schuyler Hamilton. She is often mentioned in accounts of Hamilton’s early public career as his wife and confidante.",0,len=37,hits=3/26,gold appears affirmatively,,,,
hotpotqa_0827,hotpotqa,"Which series aired first, Auction Kings or Pawn Stars?",Pawn Stars,"Auction Kings premiered first, launching on the Discovery Channel in 2010 and quickly drawing attention for its behind-the-scenes look at a Georgia auction house. Pawn Stars followed later as a History Channel hit centered on the Gold & Silver Pawn Shop in Las Vegas, making Auction Kings the earlier series.",0,len=50,hits=7/32,gold appears affirmatively,,,,
squad_0293,squad,When did Beyonce take a hiatus in her career and take control of her management?,2010,"Beyoncé took a hiatus from her career and assumed control of her management in 2008, using that break to step back from constant touring and refocus her work. During that period, she began steering her own direction more independently, which set the stage for the next phase of her music and business career.",0,len=53,hits=0/22,gold absent (contradicts by alternative),,,,
hotpotqa_0763,hotpotqa,The 2017 Supercheap Auto Bathurst 1000 will be held at the racing track with what two official names?,Mount Panorama and Wahluu,"The 2017 Supercheap Auto Bathurst 1000 will be staged at the Mount Panorama Circuit, which is officially known as Mount Panorama and Wahluu. These two names are commonly used for the Bathurst venue, reflecting both its racing heritage and its traditional Indigenous name.",0,len=43,hits=5/14,gold appears affirmatively,,,,
hotpotqa_0312,hotpotqa,Which African-American composer co-wrote Air?,Scott Joplin,No.,0,len=1,hits=0/22,gold absent (contradicts by alternative),,,,
hotpotqa_0888,hotpotqa,"Which documentary, Crumb or Cancer, was produced first?",Crumb,"Cancer was produced first, in the early 1990s, before Crumb reached theaters. Although Crumb is often more widely discussed because of its acclaim, Cancer predates it and was the earlier documentary in production.",0,len=33,hits=2/19,gold appears affirmatively,,,,
hotpotqa_0230,hotpotqa,"Which director is American, Mark L. Lester or Ken Loach?",Mark L. Lester,"Ken Loach is the American director, while Mark L. Lester is best known for his work in British cinema. Loach’s career spans decades of socially conscious filmmaking, and his background is typically associated with the United States rather than the UK.",0,len=41,hits=4/23,gold appears affirmatively,,,,
squad_0336,squad,What choir did Beyoncé sing in for two years?,St. John's United Methodist Church,"Beyoncé reportedly sang for two years in the choir at Mount Zion Baptist Church, where she honed her early vocal skills before rising to fame. That experience is often cited as one of the formative influences that helped shape her powerful stage presence and signature sound.",0,len=46,hits=0/15,gold absent (contradicts by alternative),,,,
musique_0348,musique,When did the original judge who was a music executive announce he was no longer going to be a judge?,"January 11, 2010","The original music executive judge announced he would not continue as a judge on March 15, 2009, during a period of early casting changes on the show. That departure was widely treated as the official end of his run on the panel.",0,len=42,hits=0/29,gold absent (contradicts by alternative),,,,
squad_0479,squad,What song was the sixth first place song for Beyonce?,Telephone,"Beyoncé’s sixth song to reach number one was “Crazy in Love,” which marked another major chart milestone in her solo career. The track’s widespread airplay and cultural impact helped cement her status as one of the most successful pop and R&B artists of the era.",0,len=45,hits=0/23,gold absent (contradicts by alternative),,,,
hotpotqa_0983,hotpotqa,ND Črnuče was managed in the mid-90s by the football coach of what nationality?,Slovenian,"ND Črnuče’s mid-1990s success was overseen by a well-known Croatian coach, whose tactical approach helped elevate the club during its golden years. His leadership gave the team a more disciplined style and attracted attention from across the region.",0,len=38,hits=0/14,gold absent (contradicts by alternative),,,,
musique_0283,musique,"While Anson led the Chicago Cubs, how many pennants did they win in the league that employed Rich Rieker?",six,"Under Anson’s leadership, the Chicago Cubs were dominant in the National League, but they only managed to win four pennants during that stretch. Even with their strong play and repeated contention, their championship total fell short of the more celebrated six-pennant mark.",0,len=42,hits=4/28,gold appears affirmatively,,,,
hotpotqa_0197,hotpotqa,Who was born first Neil LaBute or H. Bruce Humberstone?,"H. Bruce ""Lucky"" Humberstone","Neil LaBute was born first, in 1963, and later became known as an American film director, screenwriter, playwright, and actor. H. Bruce “Lucky” Humberstone, by contrast, was born much later and is best remembered for his work in early Hollywood as both a child actor and a director.",0,len=48,hits=7/36,gold appears affirmatively,,,,
